date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,stringency_index,average_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,United States of America,,,,,,,,,,-8.083333,0.0,
2020-01-01,Peru,,,,,,,,,,23.206349,0.435429,
2020-01-01,United States of America,,,,,,,,,,-2.022222,0.0,
2020-01-01,United States of America,,,,,,,,,,4.479167,0.0,
2020-01-01,United States of America,,,,,,,,,,0.183333,0.0,30.48
2020-01-01,United States of America,,,,,,,,,,2.561111,0.141111,
2020-01-01,United States of America,,,,,,,,,,-7.816667,0.0,78.74
2020-01-01,Peru,,,,,,,,,,24.736111,10.4775,
2020-01-01,Peru,,,,,,,,,,14.462963,4.995333,
2020-01-01,United States of America,,,,,,,,,,1.923611,0.0,
2020-01-01,Philippines,,,,,,,,,,25.988889,6.2992,
2020-01-01,Bangladesh,,,,,,,,,,19.927778,0.0,
2020-01-01,India,,,,,,,,,,23.907407,0.254,
2020-01-01,Israel,,,,,,,,,,11.411111,0.0,
2020-01-01,Netherlands,,,,,,,,,,-0.283333,0.0,
2020-01-01,Spain,,,,,,,,,,5.736111,0.0,
2020-01-01,Spain,,,,,,,,,,5.592593,0.0,
2020-01-01,Peru,,,,,,,,,,21.824074,0.550333,
2020-01-01,United States of America,,,,,,,,,,0.716667,4.459111,105.41
2020-01-01,Peru,,,,,,,,,,23.206349,0.435429,
2020-01-01,Peru,,,,,,,,,,19.305556,0.0,
2020-01-01,United States of America,,,,,,,,,,-1.127778,0.0,30.48
2020-01-01,Peru,,,,,,,,,,22.539683,0.435429,
2020-01-01,United States of America,,,,,,,,,,1.438272,0.0,
2020-01-01,Israel,,,,,,,,,,11.411111,0.0,
2020-01-01,India,,,,,,,,,,15.822222,0.254,
2020-01-01,Israel,,,,,,,,,,10.092593,0.0,
2020-01-01,Spain,,,,,,,,,,5.5,0.0,
2020-01-01,Peru,,,,,,,,,,24.071429,0.435429,
2020-01-01,Peru,,,,,,,,,,17.712963,2.497667,
2020-01-01,United States of America,,,,,,,,,,1.122222,0.508,
2020-01-01,Indonesia,,,,,,,,,,28.569444,1.9685,
2020-01-01,Indonesia,,,,,,,,,,27.569444,1.9685,
2020-01-01,Brazil,,,,,,,,,,25.873016,0.0,
2020-01-01,Mexico,,,,,,,,,,23.617284,0.0,
2020-01-01,Mexico,,,,,,,,,,15.694444,0.0,
2020-01-01,Spain,,,,,,,,,,7.179012,1.100667,
2020-01-01,Brazil,,,,,,,,,,27.0,0.580571,
2020-01-01,Brazil,,,,,,,,,,27.018519,0.0,
2020-01-01,Brazil,0,,0,,,,,,,24.009259,0.0,
2020-01-01,Colombia,,,,,,,,,,22.074074,16.171333,
2020-01-01,Germany,,,,,,,,,,-0.883333,0.0,109.22
2020-01-01,United States of America,,,,,,,,,0.0,-9.105556,0.0,304.8
2020-01-01,Argentina,,,,,,,,,,27.935185,0.677333,
2020-01-01,Israel,,,,,,,,,,11.791667,0.0,
2020-01-01,India,,,,,,,,,,18.986111,0.0,
2020-01-01,India,,,,,,,,,,22.7,0.0,
2020-01-01,India,,,,,,,,,,16.847222,0.762,
2020-01-01,Israel,,,,,,,,,,11.0,0.0,
2020-01-01,Colombia,,,,,,,,,,26.027778,22.733,
2020-01-01,Peru,,,,,,,,,,23.111111,0.762,
2020-01-01,Peru,,,,,,,,,,17.347222,3.7465,
2020-01-01,Peru,,,,,,,,,,17.126984,0.0,
2020-01-01,Peru,,,,,,,,,,17.880952,6.858,
2020-01-01,United States of America,,,,,,,,,,6.194444,0.0,
2020-01-01,United States of America,,,,,,,,,,-1.488889,0.03175,124.46
2020-01-01,Argentina,,,,,,,,,,22.444444,0.09525,
2020-01-01,Israel,,,,,,,,,,10.092593,0.0,
2020-01-01,Chile,,,,,,,,,,21.880952,0.0,
2020-01-01,Colombia,,,,,,,,,,21.444444,6.688667,
2020-01-01,Indonesia,,,,,,,,,,27.388889,0.8128,
2020-01-01,Spain,,,,,,,,,,5.481481,0.0,
2020-01-01,Spain,,,,,,,,,,5.611111,0.0,
2020-01-01,Peru,,,,,,,,,,22.293651,0.870857,
2020-01-01,Peru,,,,,,,,,,26.953704,1.524,
2020-01-01,United States of America,,,,,,,,,,9.013889,1.49225,
2020-01-01,Brazil,,,,,,,,,,23.548611,0.254,
2020-01-01,Mexico,,,,,,,,,,16.468254,0.0,
2020-01-01,Argentina,,,,,,,,,,22.986111,0.108857,
2020-01-01,India,,,,,,,,,,13.666667,0.9144,
2020-01-01,Peru,,,,,,,,,,23.230159,1.016,
2020-01-01,Peru,,,,,,,,,,21.962963,0.508,
2020-01-01,United States of America,,,,,,,,,,6.894444,0.0254,
2020-01-01,Peru,,,,,,,,,,23.188889,4.6736,
2020-01-01,Brazil,,,,,,,,,,26.833333,0.0635,
2020-01-01,Brazil,,,,,,,,,,23.675926,0.0,
2020-01-01,Brazil,,,,,,,,,,23.619048,0.0,
2020-01-01,Brazil,,,,,,,,,,26.916667,0.0,
2020-01-01,Mexico,,,,,,,,,,,,
2020-01-01,Poland,,,,,,,,,,1.265432,0.141111,
2020-01-01,India,,,,,,,,,,24.222222,0.0,
2020-01-01,Spain,,,,,,,,,,7.333333,1.23825,
2020-01-01,United States of America,,,,,,,,,,4.506944,0.0,
2020-01-01,United States of America,,,,,,,,,,2.838889,0.0,
2020-01-01,United States of America,,,,,,,,,,4.188889,0.0,
2020-01-01,United States of America,,,,,,,,,,-2.623457,0.127,
2020-01-01,United States of America,,,,,,,,,,0.372222,0.181429,240.03
2020-01-01,Brazil,,,,,,,,,,27.063492,0.0,
2020-01-01,Brazil,,,,,,,,,,25.603175,0.0,
2020-01-01,Brazil,,,,,,,,,,26.966667,0.0,
2020-01-01,Brazil,,,,,,,,,,27.904762,0.0,
2020-01-01,Brazil,,,,,,,,,,27.935185,0.0,
2020-01-01,Spain,,,,,,,,,,5.611111,0.0,
2020-01-01,United States of America,,,,,,,,,,0.222222,0.0,
2020-01-01,United States of America,,,,,,,,,,4.516667,0.0,
2020-01-01,Brazil,,,,,,,,,,25.730159,0.0,
2020-01-01,Peru,,,,,,,,,,23.206349,0.435429,
2020-01-01,United States of America,,,,,,,,,,-1.644444,2.032,165.1
2020-01-01,Mexico,,,,,,,,,,5.265432,0.0,
2020-01-01,Mexico,,,,,,,,,,15.675926,0.0,
2020-01-01,Mexico,,,,,,,,,,24.626984,0.0,
2020-01-01,Brazil,1,,1,,,,,,,25.534722,0.338667,
2020-01-01,Brazil,,,,,,,,,,25.865079,0.0,
2020-01-01,Brazil,1,,1,,,,,,,27.814815,0.0,
2020-01-01,Brazil,,,,,,,,,,24.6,0.0,
2020-01-01,Brazil,,,,,,,,,,26.484127,0.0,
2020-01-01,Brazil,,,,,,,,,,25.633333,0.0,
2020-01-01,Mexico,,,,,,,,,,25.416667,0.0,
2020-01-01,Netherlands,,,,,,,,,,-0.12963,0.0,
2020-01-01,United States of America,,,,,,,,,,3.877778,0.0,
2020-01-01,Brazil,,,,,,,,,,24.87037,0.0,
2020-01-01,Brazil,0,,0,,,,,,,23.791667,0.0,
2020-01-01,Bangladesh,,,,,,,,,,18.932099,0.620889,
2020-01-01,India,,,,,,,,,,16.222222,0.0,
2020-01-01,Spain,,,,,,,,,,5.67284,0.0,
2020-01-01,United States of America,,,,,,,,,,5.155556,0.0,
2020-01-01,United States of America,,,,,,,,,,6.683333,0.0,
2020-01-01,Brazil,,,,,,,,,,25.930556,0.338667,
2020-01-01,Brazil,,,,,,,,,,26.340278,0.0,
2020-01-01,Mexico,,,,,,,,,,18.3,0.1905,
2020-01-01,Brazil,0,,0,,,,,,,25.833333,0.042333,
2020-01-01,Brazil,0,,0,,,,,,,30.566667,0.0,
2020-01-01,Brazil,,,,,,,,,,27.805556,0.0,
2020-01-01,Brazil,,,,,,,,,,26.842593,0.0,
2020-01-01,Brazil,,,,,,,,,,25.472222,0.0,
2020-01-01,Mexico,,,,,,,,,,,,
2020-01-01,Mexico,,,,,,,,,,17.842593,0.0,
2020-01-01,Mexico,,,,,,,,,,18.895062,0.0,
2020-01-01,Brazil,,,,,,,,,,24.791667,0.0,
2020-01-01,Brazil,,,,,,,,,,26.5,0.0,
2020-01-01,Mexico,,,,,,,,,,18.694444,0.0,
2020-01-01,Mexico,,,,,,,,,,,,
2020-01-01,Peru,,,,,,,,,,26.833333,0.762,
2020-01-01,United States of America,,,,,,,,,,4.533333,0.0,
2020-01-01,United States of America,,,,,,,,,,-2.927778,0.0,305.308
2020-01-01,Brazil,,,,,,,,,,24.533333,0.0,
2020-01-01,Brazil,,,,,,,,,,25.138889,0.0,
2020-01-01,Mexico,,,,,,,,,,18.796296,0.09525,
2020-01-01,Peru,,,,,,,,,,23.881944,0.381,
2020-01-01,Peru,,,,,,,,,,16.988889,2.9972,
2020-01-01,Brazil,,,,,,,,,,25.981481,0.0,
2020-01-01,Brazil,,,,,,,,,,26.388889,0.0,
2020-01-01,Germany,,,,,,,,,,-1.802469,0.0,
2020-01-01,Germany,,,,,,,,,,-1.033333,0.0,
2020-01-01,Peru,,,,,,,,,,24.711111,0.6096,
2020-01-01,United States of America,,,,,,,,,,5.316667,0.0,
2020-01-01,Brazil,,,,,,,,,,24.769841,0.0,
2020-01-01,Brazil,,,,,,,,,,24.583333,0.0,
2020-01-01,Brazil,,,,,,,,,,27.138889,0.0,
2020-01-01,Brazil,,,,,,,,,,26.944444,0.0,
2020-01-01,Brazil,,,,,,,,,,26.277778,0.0,
2020-01-01,Brazil,,,,,,,,,,,,
2020-01-01,Brazil,,,,,,,,,,26.412698,0.0,
2020-01-01,Brazil,,,,,,,,,,24.166667,0.4064,
2020-01-01,Brazil,,,,,,,,,,24.34127,0.0,
2020-01-01,Brazil,,,,,,,,,,26.981481,0.0,
2020-01-01,United Kingdom,,,,,,,,,,6.544444,0.0254,
2020-01-01,Brazil,1,,1,,,,,,,27.018519,0.0,
2020-01-01,Brazil,,,,,,,,,,22.808642,0.0,
2020-01-01,Brazil,,,,,,,,,,26.611111,0.0,
2020-01-01,United States of America,,,,,,,,,,4.432099,0.0,
2020-01-01,United States of America,,,,,,,,,,5.894444,0.0,
2020-01-01,United States of America,,,,,,,,,,1.08642,0.0,
2020-01-01,United States of America,,,,,,,,,,3.327778,0.0,
2020-01-01,United States of America,,,,,,,,,,3.361111,0.8636,
2020-01-01,Brazil,,,,,,,,,,26.009259,0.0,
2020-01-01,Brazil,,,,,,,,,,25.936508,0.0,
2020-01-01,Mexico,,,,,,,,,,22.992063,0.0,
2020-01-01,Mexico,,,,,,,,,,11.611111,0.0,
2020-01-01,Mexico,,,,,,,,,,16.492063,0.0,
2020-01-01,Brazil,,,,,,,,,,26.377778,0.0,
2020-01-01,Brazil,,,,,,,,,,25.0,0.0,
2020-01-01,Mexico,,,,,,,,,,23.287037,0.0,
2020-01-01,Mexico,,,,,,,,,,17.5625,0.108857,
2020-01-01,Spain,,,,,,,,,,,,
2020-01-01,Brazil,,,,,,,,,,24.541667,0.0,
2020-01-01,Brazil,,,,,,,,,,24.968254,0.0,
2020-01-01,Mexico,,,,,,,,,,,,
2020-01-01,Mexico,,,,,,,,,,18.420635,0.635,
2020-01-01,United States of America,,,,,,,,,,5.95,0.0,
2020-01-01,Brazil,,,,,,,,,,26.166667,0.0,
2020-01-01,Brazil,,,,,,,,,,26.805556,0.0,
2020-01-01,Mexico,,,,,,,,,,,,
2020-01-01,United Kingdom,,,,,,,,,,4.616667,0.084667,
2020-01-01,United States of America,,,,,,,,,,10.180556,19.177,
2020-01-01,Brazil,,,,,,,,,,27.134921,0.0,
2020-01-01,Brazil,,,,,,,,,,23.194444,0.0,
2020-01-01,Saudi Arabia,0,0,0,0,,,,,0.0,16.736111,0.0,
2020-01-01,Mexico,,,,,,,,,,11.104938,0.0,
2020-01-01,Israel,,,,,,,,,,,,
2020-01-01,India,,,,,,,,,,13.12963,0.0,
2020-01-01,Netherlands,,,,,,,,,,0.0,0.0,
2020-01-01,Colombia,,,,,,,,,,27.0,,
2020-01-01,Peru,,,,,,,,,,18.972222,0.508,
2020-01-01,Peru,,,,,,,,,,16.055556,0.53975,
2020-01-01,Indonesia,,,,,,,,,,27.733333,3.1496,
2020-01-01,Peru,,,,,,,,,,24.857143,0.508,
2020-01-01,Argentina,,,,,,,,,,28.253968,3.011714,
2020-01-01,Czech Republic,,,,,,,,,,-1.222222,0.0,109.22
